"metabolite";"Time";"Treatment";"L";"L_se";"U";"U_se";"Enrichment";"P_Value"
"Aconitate";"15";"C";0.0226055684833774;0.00598724416854005;0.0179897933612865;0.00432532808746824;0.00461577512209091;0.345238095238095
"Aconitate";"15";"Fe";0.0315884825635161;0.00425561788927423;0.0169850050008;0.00499173317312479;0.0146034775627161;0.0555555555555556
"Aconitate";"15";"P";0.0134342804752997;0.00369433327565695;0.01576572909623;0.00629927335907193;-0.00233144862093029;0.547619047619048
"Aconitate";"30";"C";0.0230291333761386;0.00674313824524071;0.0107640373722066;0.00493609533023558;0.012265096003932;0.134170294547941
"Aconitate";"30";"Fe";0.0371437408412626;0.00599745524016934;0.025001222589408;0.00565437188758934;0.0121425182518546;0.154761904761905
"Aconitate";"30";"P";0.0158024527570919;0.00274197094382816;0.00811565200882878;0.000899691567232438;0.00768680074826317;0.0277777777777778
"Aconitate";"60";"C";0.0402355655206962;0.0151425200225504;0.0164628360309529;0.002027862241601;0.0237727294897433;0.345238095238095
"Aconitate";"60";"Fe";0.0630132518446464;0.00818226995126945;0.0187840853765838;0.000795939473000255;0.0442291664680626;0.00396825396825397
"Aconitate";"60";"P";0.0226428721497;0.00772719486425436;0.0106887332837991;0.00211548904424711;0.011954138865901;0.0753968253968254
"Aconitate";"120";"C";0.0663402862481241;0.0090707436943047;0.031243907598375;0.00673701370445072;0.0350963786497491;0.0158730158730159
"Aconitate";"120";"Fe";0.0360866507493554;0.00427639831501397;0.0397669517580142;0.00749116338981021;-0.00368030100865881;0.654761904761905
"Aconitate";"120";"P";0.0210349199933447;0.00468229886812038;0.012629017825694;0.00185865739479877;0.00840590216765072;0.0753968253968254
"Citrate";"15";"C";0.00687337118566845;0.0016447110623357;3.57092853172236e-07;0;0.00687301409281527;0.00374747875846762
"Citrate";"15";"Fe";0.00828874895326872;0.00360740596066074;3.57092853172236e-07;0;0.00828839186041555;0.00539979544100461
"Citrate";"15";"P";0.000122467141449256;0.000122110048596084;0.00088697503484792;0.000886617941994748;-0.000764507893398664;0.692558393071483
"Citrate";"30";"C";0.0129655501617254;0.00544281849660123;3.57092853172236e-07;0;0.0129651930688723;0.00539979544100461
"Citrate";"30";"Fe";0.00542745227466839;0.00201827921332245;3.57092853172236e-07;0;0.00542709518181522;0.00374747875846762
"Citrate";"30";"P";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Citrate";"60";"C";0.014386838835835;0.00544366615956205;3.57092853172236e-07;0;0.0143864817429818;0.00374747875846762
"Citrate";"60";"Fe";0.0072538584738596;0.00207902053312053;3.57092853172236e-07;0;0.00725350138100643;0.00374747875846762
"Citrate";"60";"P";0.000688042251134345;0.000417748530224251;3.57092853172236e-07;0;0.000687685158281172;0.0126849299110269
"Citrate";"120";"C";0.019190112878606;0.0010425433037446;3.57092853172236e-07;0;0.0191897557857528;0.00374747875846762
"Citrate";"120";"Fe";0.00906979662523054;0.00263368514611009;3.57092853172236e-07;0;0.00906943953237736;0.00374747875846762
"Citrate";"120";"P";0.000641711193109905;0.00040146911478772;3.57092853172236e-07;0;0.000641354100256733;0.0126849299110269
"Fumarate";"15";"C";1.62970038064392e-06;1.27260752747169e-06;3.57092853172236e-07;0;1.27260752747169e-06;0.211855398583397
"Fumarate";"15";"Fe";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"15";"P";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"30";"C";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"30";"Fe";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"30";"P";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"60";"C";6.265548032404e-05;6.22983874708678e-05;1.10082167673732e-05;1.0651123914201e-05;5.16472635566668e-05;0.5
"Fumarate";"60";"Fe";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"60";"P";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"120";"C";6.85352756808361e-05;6.81781828276639e-05;3.57092853172236e-07;0;6.81781828276639e-05;0.211855398583397
"Fumarate";"120";"Fe";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Fumarate";"120";"P";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Glycerate";"15";"C";3.36097560381302e-06;3.00388275064079e-06;3.57092853172236e-07;0;3.00388275064079e-06;0.211855398583397
"Glycerate";"15";"Fe";0.000252706237205907;0.000155914527898095;3.57092853172236e-07;0;0.000252349144352734;0.0656052072564994
"Glycerate";"15";"P";0.000169689728764073;0.000169332635910901;3.57092853172236e-07;0;0.000169332635910901;0.251167477180251
"Glycerate";"30";"C";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Glycerate";"30";"Fe";8.57674669664771e-05;8.54103741133049e-05;3.57092853172236e-07;0;8.54103741133049e-05;0.211855398583397
"Glycerate";"30";"P";0.000748172532561528;0.000607128273114392;0.000294846478555999;0.000294489385702827;0.000453326054005529;0.173260855853054
"Glycerate";"60";"C";3.57092853172236e-07;0;4.10029152674009e-05;4.06458224142287e-05;-4.06458224142287e-05;0.884930329778292
"Glycerate";"60";"Fe";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Glycerate";"60";"P";0.00010793176583942;0.000107574672986247;0.0012436600996505;0.000904430758364318;-0.00113572833381108;0.950259559621818
"Glycerate";"120";"C";3.57092853172236e-07;0;3.57092853172236e-07;0;0;1
"Glycerate";"120";"Fe";0.000540208009453408;0.00041908131078902;3.57092853172236e-07;0;0.000539850916600236;0.036002828777749
"Glycerate";"120";"P";0.00113824926801669;0.000498808326935958;3.57092853172236e-07;0;0.00113789217516352;0.036002828777749
"Glycolate";"15";"C";0.00156818842880542;0.00104323724596026;0.000177337331267647;0.000176980238414475;0.00139085109753778;0.220343008244339
"Glycolate";"15";"Fe";0.000456597383411547;0.000456240290558374;3.57092853172236e-07;0;0.000456240290558374;0.185546684761349
"Glycolate";"15";"P";0.000904316567957415;0.000635699614982078;3.57092853172236e-07;0;0.000903959475104243;0.120210393184218
"Glycolate";"30";"C";0.00192242722990324;0.00111025942258851;0.00297614070456495;0.00195120278332185;-0.00105371347466171;0.656339099413003
